GeneID,Tc_ant_1,Tc_ant_2,Tc_ant_3,Tc_ant_5,Tc_leg_1,Tc_leg_2,danaus_leg1,danaus_leg3,danaus_leg4,danaus_leg5,danaus_leg6,danaus_ant1,danaus_ant2,danaus_ant3,danaus_ant4,danaus_ant5,mel_an1,mel_an2,mel_an3,mel_an4,mel_an5,mel_an6,mel_leg1,mel_leg2,mel_leg3,mel_leg4
TC005832,183,159,124,65,7,53,994,991,792,91,3508,1249,327,996,406,1071,113,389,131,124,123,59,108,31,124,173
TC005835,1086,839,960,305,36,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005836,1968,27,154,4,2,813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005841,124,52,100,16,4,76,63,43,59,4,268,32,14,54,20,20,742,217,357,101,267,1174,2455,1517,1587,9073
TC005842,106,100,63,20,2,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005845,1961,801,1841,298,74,507,212,267,151,24,2511,213,207,25,60,193,15,48,19,56,3,22,13,2,4,18
TC005848,5996,8472,6740,3676,812,4872,201,170,138,17,649,287,43,0,63,57,21,50,27,28,12,16,8,0,14,4
TC005849,44,8,32,12,12,72,201,170,138,17,649,287,43,0,63,57,21,50,27,28,12,16,8,0,14,4
TC005852,973,743,688,206,54,379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005853,3396,1945,3373,709,79,697,610,780,539,56,4374,781,552,561,352,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005854,8521,6927,4739,1626,293,3776,516,570,338,50,4798,866,429,508,372,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005857,360,148,205,26,3,55,353,332,219,27,2815,490,161,226,172,311,0,0,0,0,0,0,0,0,0,0
TC005860,6604,5016,6292,2200,476,2784,201,170,138,17,649,287,43,0,63,57,21,50,27,28,12,16,8,0,14,4
TC005861,84,32,68,8,136,348,201,170,138,17,649,287,43,0,63,57,21,50,27,28,12,16,8,0,14,4
TC005863,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005864,218,0,6,0,0,74,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005865,0,0,0,0,0,0,2,18,0,3,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005867,1339,669,995,174,23,313,251,283,213,41,5538,247,151,139,23,266,0,0,0,3,0,0,1,0,0,0
TC005868,510,216,378,94,16,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC005869,3,1,2,0,0,0,1084,962,1008,334,23761,785,687,257,294,1019,52,140,73,86,33,37,37,29,55,153
TC005870,2405,85,401,51,8,776,290,358,336,23,3959,82,148,283,15,101,114,359,198,188,123,129,160,65,181,358
TC005873,461,178,434,25,13,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005877,8197,4470,8382,1902,392,2800,1992,2471,1689,228,14383,1827,1329,1307,788,2015,2,4,0,1,1,0,0,1,0,0
TC005879,847,282,617,118,37,332,57,56,37,2,479,932,676,399,462,392,26,84,30,62,23,28,33,9,44,46
TC005882,327,163,412,87,7,95,230,210,175,31,3140,246,204,254,45,222,0,0,0,0,0,0,0,0,0,0
TC005884,67,17,30,9,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005885,225,1,25,1,0,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005886,10815,6130,13718,2574,1095,6556,7151,7132,6137,1337,84232,7648,2823,4936,3756,4315,0,0,1,1,1,1,0,0,1,0
TC005887,3239,2576,3497,858,127,951,7151,7132,6137,1337,84232,7648,2823,4936,3756,4315,0,0,1,1,1,1,0,0,1,0
TC005888,1109,1017,971,242,37,456,119,155,64,15,1397,225,209,417,111,235,487,2090,942,840,898,615,1212,326,1191,1567
TC005890,47,18,28,7,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005893,0,0,1,0,0,2,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC005894,0,0,0,0,0,0,1015,981,713,95,7411,1055,712,564,519,1406,5347,18400,9646,5172,7111,5781,3176,1386,5242,7192
TC005895,13159,4417,11133,1412,256,4703,262,434,138,28,44,247,157,68,48,137,260,643,298,418,266,188,190,42,289,193
TC005896,399,257,337,78,12,77,146,113,53,6,166,291,58,213,24,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005900,22144,13644,24362,4885,1760,11617,6715,5207,5020,441,59952,3134,3768,2984,1287,3220,2302,8226,3213,4063,2668,1827,1233,479,2242,2989
TC005902,836,644,711,234,32,489,6,4,0,0,27,4,0,0,0,3,99,681,270,141,75,174,80,33,110,245
TC005903,1119,1056,616,235,69,806,222,211,308,13,1414,397,271,580,216,357,0,0,0,0,0,1,94,18,54,75
TC005904,96,48,64,8,0,20,0,0,0,0,0,0,0,0,0,0,129,429,75,297,89,64,115,23,90,181
TC005908,45,52,48,12,3,9,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC005909,198,100,223,35,5,43,425,466,364,45,3835,899,813,381,452,725,167,325,137,200,21,87,44,12,16,69
TC005910,0,0,0,0,0,0,519,606,286,35,3043,406,339,190,214,367,0,0,0,0,0,0,0,0,0,0
TC005921,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005922,3496,1323,3746,593,108,853,220,285,142,35,3684,294,314,203,169,209,1371,1178,973,2726,199,259,8,2,10,13
TC005923,2,5,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005925,48,12,12,3,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005929,113,172,118,149,3,8,56,133,18,8,485,2958,837,223,427,3040,384,1327,536,534,347,302,250,70,287,695
TC005930,3673,692,3912,331,60,372,262,380,184,40,5285,277,433,255,217,507,61,163,87,117,54,54,17,4,19,73
TC005931,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005941,3359,22,166,9,10,1737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005942,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005943,881,829,906,216,17,273,82,76,64,8,1812,175,164,158,17,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005944,163,140,136,72,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005946,21,30,10,11,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005952,122,126,88,44,10,396,99,44,58,1,372,5,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005953,61,5,22,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005954,80,1,13,0,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005957,595,424,611,139,24,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005961,1327,1020,850,231,38,569,403,424,237,20,4084,519,365,384,159,631,92,316,108,219,82,59,5,3,8,12
TC005967,3047,637,3308,321,66,386,334,318,289,27,5813,389,510,467,69,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005968,78,70,73,25,104,710,2811,1630,2824,202,23047,2,107,1,0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005972,3342,2590,2201,681,134,1367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005976,0,0,0,0,0,0,1025,1008,236,185,14138,851,1388,501,441,1234,0,4,14,0,0,0,0,2,0,32
TC005977,1931,1247,2036,520,77,583,626,678,651,29,5575,719,491,585,246,468,0,0,0,0,0,0,0,0,0,0
TC005981,3667,1898,3494,827,244,1480,1235,1582,1178,71,10294,418,257,166,99,406,101,279,168,134,86,75,65,38,84,199
TC005983,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,266,1172,372,587,80,381,186,42,102,198
TC005984,16715,10589,17367,4000,1425,7475,6248,4966,6175,535,11309,9323,10015,8172,2769,10608,238,570,192,381,157,149,147,45,87,127
TC005985,0,1,0,0,0,0,315,510,276,30,7172,739,339,562,255,734,219,685,348,593,327,262,332,82,359,333
TC005986,321,2551,261,458,214,2978,315,510,276,30,7172,739,339,562,255,734,219,685,348,593,327,262,332,82,359,333
TC005987,2059,1046,2067,370,43,484,124,72,48,10,657,151,69,66,0,164,257,686,382,359,209,277,511,245,392,1316
TC005988,2376,1674,2141,469,111,876,74,100,59,17,952,177,109,71,62,122,3,15,12,28,17,1,23,0,19,11
TC005995,5579,4632,3801,999,232,2364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005996,1108,647,1138,235,54,461,143,199,143,38,4078,204,123,203,84,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC005997,1204,116,148,18,6,992,4,6,8,0,71,0,0,1,0,0,17,87,16,21,10,12,19,11,21,31
TC005999,37,21,40,4,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006008,863,1252,842,363,107,812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,26,43,34,12,78,6,26,26,25
TC006019,1314,1083,701,207,45,482,317,325,255,57,1670,453,316,166,122,453,490,2270,806,936,550,496,568,141,526,821
TC006020,4962,1977,5440,676,14,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006023,802,668,828,266,9,99,5,4,2,0,50,52,0,0,15,97,64,258,149,149,48,71,82,22,64,123
TC006024,33,13,25,10,0,7,1204,477,852,20,1631,326,148,0,49,329,0,0,4,4,0,0,1,0,0,3
TC006025,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0
TC006027,6479,72,349,12,1,4643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006028,1347,790,1412,280,59,282,540,513,266,51,7060,521,269,301,145,1059,1,0,1,0,1,0,0,0,0,0
TC006029,118,32,68,12,0,72,8501,10088,6068,562,18792,1958,1420,1969,955,2102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006033,0,0,0,0,0,0,2,3,1,0,6,0,0,0,0,0,116,333,144,149,93,54,99,31,105,144
TC006034,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006037,4370,1847,4476,823,181,1089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,135,74,126,37,72,57,39,63,85
TC006038,2701,1365,2851,564,150,828,129,115,100,5,1404,286,416,410,62,438,261,2508,811,1677,1020,454,1928,256,2493,1796
TC006039,638,522,618,141,55,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006040,0,0,0,0,0,0,84,95,25,12,141,190,138,88,28,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006041,3057,2782,3298,1191,315,2220,280,288,370,19,2142,642,485,296,319,453,8,17,5,13,3,7,2,0,1,8
TC006044,0,0,0,0,0,0,1,15,6,2,57,28,0,47,0,11,17,26,19,27,4,0,16,4,18,17
TC006048,916,624,680,184,16,137,350,553,190,27,4013,516,408,501,86,445,6,29,5,0,1,0,2,0,0,5
TC006050,448,354,417,92,19,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006051,26,30,18,6,0,21,33,34,15,6,167,137,87,7,54,65,30,37,25,100,54,9,50,8,28,57
TC006052,6810,3431,4916,750,101,1583,93,86,51,10,1042,149,183,108,116,147,55,263,89,110,48,38,58,2,12,37
TC006055,18312,16938,17606,5454,1522,14198,2520,2598,2209,172,25107,2628,1726,2095,1069,2623,10,99,32,14,5,5,1,2,7,22
TC006056,0,0,0,0,0,0,2,7,0,1,89,948,270,146,28,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006058,124,116,108,47,65,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006059,1,3,1,3,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006063,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006065,1,0,0,0,0,0,199,202,114,23,1883,280,180,198,68,287,2,9,5,9,0,4,1,0,3,2
TC006088,41563,73,314,6,0,16647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006089,1139,2,7,0,0,749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006093,50,558,50,148,92,613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006095,14,6,3,4,0,5,0,0,1,0,9,0,0,0,0,0,279,1200,514,715,443,255,740,111,630,928
TC006096,698,400,418,116,28,168,57,128,80,10,2468,1961,2478,4728,980,3275,0,7,0,0,0,0,1,0,0,4
TC006097,444,308,409,117,21,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006099,0,0,0,0,0,0,21,15,3,0,118,55,40,29,31,7,0,0,0,0,0,0,0,0,0,0
TC006100,162,117,143,20,138,1359,21,15,3,0,118,55,40,29,31,7,0,0,0,0,0,0,0,0,0,0
TC006102,1827,1733,1295,399,65,930,261,310,151,50,5874,387,410,336,114,476,8,50,10,8,10,28,759,218,326,1545
TC006103,1526,1305,1471,490,111,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,1186,421,737,481,309,724,294,1166,1613
TC006104,1784,1613,949,337,43,723,359,406,240,26,4678,550,379,324,154,665,48,131,58,64,39,34,43,21,56,115
TC006105,964,660,1032,248,35,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006106,23428,12670,24090,5080,1563,9437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,35,31,28,19,14,12,34,58
TC006107,4293,4148,4036,1233,143,1539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006108,33,33,15,9,1,25,3177,3505,2956,197,18789,3685,1723,2211,1907,2378,2,1,6,7,3,1,16,0,7,10
TC006109,33018,26898,24145,6223,677,9394,7071,9572,4820,811,17835,13533,8776,7302,4187,11204,386,2076,805,657,652,557,410,91,817,600
TC006111,16,12,10,2,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006113,2529,1328,2469,486,23,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006114,2590,1513,2634,656,107,706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
TC006116,4290,4337,4006,1928,298,1921,99,147,29,18,2659,480,251,180,110,340,0,0,0,0,0,0,0,0,0,0
TC006117,1773,1136,1861,362,73,601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006118,633,575,598,162,17,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006120,78,9,22,2,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006124,37360,22560,36824,9528,2712,15576,39,33,17,10,617,4,0,0,12,60,360,1010,482,674,290,308,940,280,512,1296
TC006127,5174,2190,4987,774,211,1734,1415,1343,1856,99,15103,1335,497,491,592,681,51,149,80,104,73,45,59,20,71,126
TC006129,0,6,6,0,0,0,19,46,19,6,587,177,0,25,0,323,429,861,351,702,408,186,435,57,471,324
TC006130,1610,1435,1699,616,56,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006131,63,109,69,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006133,3049,1975,2506,573,98,979,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,5
TC006138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,145,64,109,43,33,67,33,85,153
TC006146,57,2,3,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006147,2015,926,1333,253,39,536,0,0,0,0,0,0,0,0,0,0,216,737,308,181,142,154,225,79,174,506
TC006148,3348,1348,3580,544,118,732,366,297,339,24,2095,482,218,156,58,426,91,303,92,94,92,67,25,10,27,77
TC006152,111,86,77,29,5,45,154,125,70,12,198,153,206,86,23,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006157,6,13,4,3,0,1,2,2,0,0,29,22,25,0,0,15,12,7,23,26,24,8,19,5,7,30
TC006158,40,18,34,7,1,20,2,2,0,0,29,22,25,0,0,15,12,7,23,26,24,8,19,5,7,30
TC006159,167,196,143,60,500,4499,644,451,555,13,1400,0,0,0,0,0,36,138,44,64,63,37,45,16,48,68
TC006160,294,197,317,98,2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006161,0,0,0,0,0,0,162,180,147,18,532,460,311,610,233,447,263,1056,500,648,494,291,373,92,518,663
TC006162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006163,1782,1137,2003,463,133,752,551,559,429,44,5273,438,350,124,259,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006164,2128,1182,2135,490,114,866,886,1043,692,58,7858,995,529,544,473,831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006166,1385,791,1410,324,76,616,110,132,62,24,1364,133,72,359,21,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006167,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006168,3100,1681,2543,451,104,1206,690,780,674,62,11493,695,561,389,214,536,2,0,1,0,3,3,1,2,1,12
TC006169,170,124,148,37,11,70,0,0,0,0,0,0,0,0,0,0,40,427,173,28,27,111,39,2,20,19
TC006170,0,0,3,0,0,1,46811,58159,76345,1097,168145,26828,20126,19796,11042,13151,1559,1577,706,679,1320,1121,1200,198,899,1576
TC006172,1147,1465,1233,578,1001,5901,80,39,93,1,320,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006173,4680,2976,3458,850,176,1555,1561,1740,1554,116,6307,3056,2402,3287,1061,2169,0,0,3,29,1,16,6,1,0,0
TC006174,113,47,117,27,17,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006180,0,0,0,0,0,0,270,433,234,29,5011,440,482,458,245,500,139,254,200,255,75,66,93,24,109,118
TC006181,103,278,90,45,368,6250,506,394,1229,7,3500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006184,6,12,3,4,44,188,506,394,1229,7,3500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006185,1,0,0,0,0,0,24,17,30,1,164,2,0,0,0,1,8679,31748,13247,12727,10320,8726,7245,2452,9701,9435
TC006188,1290,812,640,219,61,611,1803,1175,1030,46,6983,813,371,646,184,713,10,1,3,47,7,2,3,0,4,1
TC006190,167,131,168,41,3,57,46,43,39,1,909,154,69,58,14,253,2,10,12,13,1,8,4,0,5,2
TC006191,0,0,0,0,0,0,1164,1179,762,116,18331,1452,935,610,482,1330,5,10,4,3,3,3,5,0,1,5
TC006192,266,126,170,18,0,20,228,589,61,90,2645,3496,440,180,68,1678,459,1814,594,851,417,396,892,481,1125,2525
TC006198,2002,1027,1966,438,56,403,18,17,23,1,644,64,151,0,21,15,0,0,0,0,0,0,0,0,0,0
TC006199,3551,1740,3619,771,105,803,465,866,418,51,8507,493,347,728,287,763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006203,2414,2206,1152,514,134,1686,1660,1373,1173,109,10717,1557,821,881,481,878,0,0,0,0,0,0,0,0,1,0
TC006205,785,549,701,158,3,35,0,0,0,0,0,4,0,0,0,0,0,24,6,37,6,5,14,1,6,3
TC006209,1776,3213,1023,499,103,2098,845,787,680,119,1064,1172,768,524,537,879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006210,4639,1278,4005,405,68,597,436,453,259,28,3224,704,818,497,408,758,14,71,23,20,18,17,13,6,21,14
TC006211,221,106,147,26,9,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006213,886,680,453,165,29,336,521,477,265,51,4477,563,361,253,236,478,825,2281,871,235,585,390,144,216,737,1235
TC006214,706,616,404,175,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006215,56,23,54,11,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006216,590,409,589,157,24,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006217,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006218,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006222,7,21,13,11,3,19,13,31,9,1,100,19,30,0,0,43,5,5,5,11,9,1,12,2,16,2
TC006223,4915,1455,5378,640,72,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006225,6,4,3,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006226,2,4,6,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006227,20,15,19,14,2,28,38,59,41,13,275,75,16,0,28,42,0,0,0,0,0,0,1,1,0,0
TC006230,3134,7639,1840,2199,974,6825,8,13,12,0,132,0,0,0,24,6,2,11,2,0,0,14,2,3,5,4
TC006231,112,204,88,32,72,1012,240,388,66,38,3086,174,82,46,100,1206,92,594,84,164,26,16,4,2,8,6
TC006232,2144,1608,1884,452,112,1528,240,388,66,38,3086,174,82,46,100,1206,92,594,84,164,26,16,4,2,8,6
TC006234,1774,1336,1874,506,76,656,2486,2190,1184,234,24052,12992,15712,8884,2570,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006235,1367,1132,1437,521,69,572,342,411,326,34,4802,413,471,416,199,382,202,697,253,265,206,112,128,41,160,307
TC006236,233,119,259,44,4,64,9,9,10,0,131,20,61,0,81,11,32,67,88,134,41,62,130,30,114,210
TC006239,2544,1321,2588,546,90,511,390,258,346,27,5149,207,96,210,138,216,0,0,0,0,0,0,0,0,0,0
TC006240,1278,532,1306,208,58,440,14,6,2,0,154,18,0,0,0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006241,8622,17838,8864,3858,662,8434,6660,11830,5559,960,91466,2039,13612,4564,62588,23537,196,494,316,352,212,226,202,70,222,326
TC006245,2791,1694,2916,754,118,772,478,381,516,37,9787,373,169,290,155,379,282,737,453,422,198,199,674,447,667,2038
TC006246,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC006247,34,5,28,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC006252,4616,5310,2295,1296,731,6318,15632,10683,16209,607,35651,3810,1968,1565,1031,2157,1,10,3,0,2,0,1,0,9,3
TC006255,973,196,735,42,301,3101,2737,4242,522,239,17289,2217,1884,1189,480,4477,30,60,56,90,42,33,79,19,96,130
TC006257,45,33,52,4,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006258,3420,2378,3428,1135,196,1318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006259,2260,797,1480,216,44,501,23,15,19,0,29,0,1,20,4,17,107,905,245,151,299,177,65,28,166,116
TC006260,26009,8356,28818,3953,648,4272,1525,1649,1181,550,29383,1279,790,571,407,1114,0,2,0,0,1,0,0,0,0,0
TC006261,132,48,108,18,3,30,6,8,6,2,134,18,52,12,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006262,18,12,8,2,2,16,3,5,12,0,46,6,40,0,63,51,0,0,0,0,0,0,0,0,0,2
TC006266,22013,6419,30023,2516,525,3981,7151,7132,6137,1337,84232,7648,2823,4936,3756,4315,0,0,1,1,1,1,0,0,1,0
TC006270,753,449,712,194,27,154,31,71,29,6,580,80,0,69,17,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006271,6,2,4,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC006274,387,639,395,327,34,207,0,0,0,0,12,4,8,23,29,71,184,552,265,339,203,102,235,83,250,316
TC006275,43,72,55,23,11,63,85,409,29,10,532,115,30,149,68,20,62,179,77,109,43,48,22,7,35,66
TC006276,6930,4423,6912,1829,158,1495,476,351,140,35,1568,567,259,308,295,464,74,363,97,38,27,44,9,3,14,64
