GeneID,Tc_ant_1,Tc_ant_2,Tc_ant_3,Tc_ant_5,Tc_leg_1,Tc_leg_2,danaus_leg1,danaus_leg3,danaus_leg4,danaus_leg5,danaus_leg6,danaus_ant1,danaus_ant2,danaus_ant3,danaus_ant4,danaus_ant5,mel_an1,mel_an2,mel_an3,mel_an4,mel_an5,mel_an6,mel_leg1,mel_leg2,mel_leg3,mel_leg4
TC000293,10,1,25,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000297,3557,2123,3718,916,135,854,37,69,17,5,112,55,95,0,10,15,317,514,430,537,242,198,400,76,201,364
TC000301,0,0,0,0,0,0,284,270,201,38,790,818,529,783,251,773,0,0,0,3,0,0,0,0,0,1
TC000302,7056,2136,4320,1284,216,4884,1285,1060,832,110,8532,2074,1080,2609,1021,1256,463,1291,592,1104,544,401,432,126,550,657
TC000303,793,78,798,45,56,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000304,2186,1324,2410,510,86,643,533,441,658,44,10596,383,189,274,207,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000305,0,0,0,0,0,0,43,28,14,2,306,0,0,0,0,7,69,349,95,127,194,103,33,17,43,90
TC000312,1351,755,1194,254,45,355,50,84,66,1,504,175,54,100,44,202,324,2068,849,2811,1169,397,727,40,903,424
TC000313,2976,1258,2671,395,57,608,346,278,122,44,5351,180,321,135,99,285,3,24,9,5,2,1,9,0,14,8
TC000315,163,120,97,19,6,106,163,131,83,15,605,46,19,0,60,43,0,0,1,7,0,0,1,1,3,0
TC000316,2918,2667,2284,710,188,2157,141,523,81,21,1845,2474,716,114,153,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000317,1093,665,1220,238,57,371,653,1297,434,101,4413,820,357,306,310,1096,68,210,80,220,100,139,87,41,94,69
TC000318,976,448,1001,202,44,316,114,133,115,5,749,4,5,0,0,21,136,490,197,241,174,160,157,78,214,351
TC000319,676,15,83,14,1,235,114,133,115,5,749,4,5,0,0,21,136,490,197,241,174,160,157,78,214,351
TC000321,2444,2277,1991,578,34,433,36,37,19,3,345,61,20,30,0,59,128,376,163,403,118,115,41,18,50,61
TC000323,4544,2849,4896,1436,243,1477,128,130,59,11,795,170,148,61,174,172,4,55,8,2,9,4,0,4,8,14
TC000324,7668,3235,7969,1296,219,1780,35,32,28,2,96,25,19,0,1,41,0,0,0,0,0,0,0,1,0,1
TC000325,1626,3578,1100,296,100,1374,2183,899,169,329,16955,3921,1927,223,394,4640,180,541,248,429,189,173,276,50,257,238
TC000326,6,1,1,1,0,1,36,24,58,2,140,70,64,103,42,23,104,452,187,158,95,134,83,35,96,179
TC000327,810,260,629,69,75,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000328,1836,1273,1103,426,58,531,385,565,192,47,2182,134,41,28,46,107,0,0,0,0,0,0,0,0,0,0
TC000331,5096,4386,4396,1131,192,2286,894,663,505,61,12701,1063,733,510,350,964,0,0,0,0,0,0,0,0,0,0
TC000334,32,19,34,7,18,61,35,23,14,1,197,35,20,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000335,0,0,0,0,0,0,51,70,38,4,582,134,24,33,23,119,8,25,8,7,4,44,4021,1424,2378,7144
TC000338,583,509,723,174,54,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
TC000350,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000355,5672,5671,5941,2386,967,5283,7789,5088,9811,173,59893,2062,1198,1065,677,1488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000356,3242,3114,1654,831,152,1619,515,332,220,28,3224,472,163,348,216,314,0,0,0,0,0,0,0,0,0,0
TC000357,187,50,143,18,45,319,2,0,6,0,9,0,0,0,11,49,0,3,3,7,3,2,11,0,5,0
TC000358,11,2,4,0,0,2,41,53,21,5,74,60,136,141,33,96,0,0,0,3,1,0,0,0,0,0
TC000359,5984,2660,6703,1043,352,2571,832,753,676,59,11679,408,291,178,102,334,0,0,7,0,0,0,0,0,0,9
TC000360,52,22,19,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000361,6,6,1,1,0,3,1,2,3,0,45,0,0,0,0,0,18,2,5,40,16,32,4,2,0,4
TC000365,335,64,291,30,4,22,74,113,85,5,478,28,0,0,15,93,435,1008,359,10,306,66,9,31,237,485
TC000366,37,15,26,10,0,6,11,9,5,1,70,7,0,0,0,0,69,168,147,123,52,31,83,32,103,264
TC000369,7,5,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000372,887,533,850,222,57,309,193,258,168,37,2462,409,463,477,89,538,250,944,345,556,306,205,297,110,337,395
TC000373,3142,2100,2571,620,165,1723,588,350,597,44,6079,528,557,304,252,549,1,5,2,5,5,1,5,1,18,1
TC000377,1312,1257,984,267,41,587,128,107,61,6,174,139,68,112,63,159,7,72,21,16,9,24,1,1,2,3
TC000379,8388,5422,8650,2160,389,2712,160,151,120,12,3435,233,205,93,102,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000380,434,410,290,70,8,194,28,44,14,2,936,40,56,22,0,46,0,0,0,0,0,0,0,0,0,0
TC000383,1121,768,1166,301,35,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000385,4912,2713,4572,937,94,995,56,57,48,5,553,87,52,39,50,119,471,1529,590,703,441,352,344,92,419,539
TC000388,3808,3445,2636,665,74,1169,421,368,134,63,3931,445,381,211,180,560,0,0,0,0,0,0,0,0,0,0
TC000393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC000396,76,64,104,14,0,0,6,11,0,1,20,17,0,0,0,6,5,43,3,15,2,1,4,2,2,7
TC000397,176,19,39,12,2,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000398,4,2,6,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
